time,hr
0.6637067840834963,76.6767382030586
1.421420417482061,76.6767382030586
2.1830397912589685,76.6767382030586
2.940753424657533,76.6767382030586
3.6750326157860393,76.6767382030586
4.4054060665362025,78.7024160492468
5.288103392041747,78.7024160492468
6.018476842791911,76.62242902372557
6.873833985649053,76.62242902372557
7.850269080234832,78.67320274832653
8.57283105022831,76.02031231970025
9.186032289628178,73.7196544017655
10.068729615133723,75.79964142728674
11.06859915198956,75.95174047852795
11.927862035225047,74.05306580516819
12.552780495759945,71.97307877964695
13.345645792563598,73.8349894343858
14.36504403131115,73.98708848562701
15.228212654924981,75.69397783844538
15.876565557729936,76.16909136964225
16.47023809523809,78.2490783951635
17.200611545988256,76.83618503455294
17.876304631441613,76.83618503455294
18.62230104370515,75.12929568173458
19.29799412915851,75.63473560853974
19.684662426614477,75.78683465978095
20.2119373776908,75.78683465978101
20.735306588388777,75.78683465978101
21.340696347031958,74.78184373242065
22.43039791258969,73.80129027441862
23.488853555120674,73.80129027441862
24.152829419439,75.80502994946622
25.055055446836263,75.80502994946622
26.35176125244618,76.81002087682656
27.46099151989562,76.81002087682656
28.199176451402472,76.81002087682656
28.85924657534246,78.32933997109346
29.402144487932155,78.32933997109346
29.909890737116758,78.32933997109346
30.41373124592302,77.45979256494084
30.870702870189163,76.06324673081672
31.593264840182638,74.54392763654981
32.43690476190475,74.54392763654981
33.257110241356806,73.81240362819922
34.17886497064578,74.68195103435184
35.12014840182647,73.84641079171348
36.014562948467045,74.15992108100666
36.95584637964774,74.15992108100666
37.79558056099151,78.49487816752958
38.326761252446175,82.09831124570191
38.79154435746901,84.33039732246439
