time,hr
1.2377352097993222,89.75834968095035
1.9328954912692202,97.28941015318728
2.6436773520979924,93.77376636294395
3.2216757883763347,91.63335970241346
3.8465389627312994,93.2705467615954
4.697915037789938,91.72538090608471
5.549291112848579,86.7912378380674
6.158532707844669,87.75096818310507
6.580315350534271,87.33546139842991
7.00600338806359,88.2951917434676
7.7167852488923625,88.2951917434676
8.513485796194942,88.2951917434676
9.114916601511595,88.71069852814276
9.81788767266093,86.57020903133142
10.731750065155065,86.98571581600659
11.590936929893143,89.8111619517976
12.067395100338803,90.22666873647276
12.450123794631219,94.09978555076603
12.938298149596035,94.92524027693
13.406945530362258,93.92109888063172
14.047430284076096,92.6408186003514
14.766022934584306,93.30208244669413
15.52757492832942,90.55862470323639
16.16415428720354,90.73436667719389
16.90617930675006,91.73850807349216
17.78489314568673,94.17284381768704
18.585499087829028,93.51157997134429
19.30018634349752,92.38192090050877
19.909427938493607,92.20617892655132
20.38198071409955,93.57892918984513
20.889682043262958,87.9438927449495
21.483302058900176,88.60515659129223
22.084732864216832,87.79281748417449
22.611961167578833,89.523359039497
23.111851707062804,88.1506087762032
23.935890018243413,90.22165040606842
24.66229345843106,88.74804745260795
25.349642950221522,91.18246112297676
26.033087047172266,88.78481738079519
26.583747719572578,89.44608122713792
27.271097211363035,92.70954076510728
27.97406828251237,93.52187987222501
28.575499087829023,91.89980530897394
29.028524889236373,93.48510994403777
29.42296976804795,94.19659636098882
29.86427938493614,91.59440066936222
30.39150768829814,90.21916353964951
31.168681261402128,90.88042738599236
31.996624967422456,92.35403033945295
32.55900182434192,92.11093914699448
33.24244592129266,92.82242556394553
34.18364607766483,95.57041295695203
35.1053192598384,100.8398592324958
35.749709408391965,106.49034130574178
36.183208235600716,106.98275679815751
36.67919338024497,107.2320810981148
37.104881417774294,107.48140539807221
37.73755538180869,103.17276983943665
38.62017461558508,97.99068299068315
39.43249674224653,97.99068299068315
40.12765702371643,97.74135869072589
40.877492832942394,97.49203439076848
41.791355225436526,96.99961889835274
42.732555381808695,93.31396354603095
43.71671488141776,94.66304708689533
44.62276648423246,94.41995589443687
45.29449439666405,94.92508045019437
45.72018243419336,94.92508045019437
46.16149205108156,98.61073580251616
46.6340448266875,97.26165226165189
47.23938102684387,96.7932570371594
47.97750065155067,95.57664606445096
48.49301277039352,95.10825083995847
48.867930675006505,94.63985561546599
49.3521996351316,93.67904489855763
