video_id,label,time_s,fft_PCA_2_poly,hilbert_PCA_2_poly
Markiplier_Giant_Baby_2,unknown,15.0,64.0,83.30881330448776
Markiplier_Giant_Baby_2,unknown,17.0,64.0,83.53455872149935
Markiplier_Giant_Baby_2,unknown,19.0,59.72480033048745,83.81926758377054
Markiplier_Giant_Baby_2,unknown,21.0,52.0,83.89463873060346
Markiplier_Giant_Baby_2,unknown,23.0,52.0,84.03648358435703
Markiplier_Giant_Baby_2,unknown,25.0,52.0,84.36465208435487
Markiplier_Giant_Baby_2,unknown,27.0,52.0,84.50697241976285
Markiplier_Giant_Baby_2,unknown,29.0,52.0,84.74442601893774
Markiplier_Giant_Baby_2,unknown,31.0,52.0,85.14552701044389
Markiplier_Giant_Baby_2,unknown,33.0,52.98512806389446,86.46153191860594
Markiplier_Giant_Baby_2,unknown,35.0,80.98826080969448,88.31819639155948
Markiplier_Giant_Baby_2,unknown,37.0,78.29473056091048,89.67089780663251
Markiplier_Giant_Baby_2,unknown,39.0,51.04188469659437,90.36199943486005
Markiplier_Giant_Baby_2,unknown,41.0,80.37849995409923,93.88682775569542
Markiplier_Giant_Baby_2,unknown,43.0,94.0,97.38690913922106
Markiplier_Giant_Baby_2,unknown,45.0,,98.6928284566978
