Subject ID,Recording ID,ROI,Extraction Method,Signal,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s28,vid_s28_T1.avi,none,ICA_3,,34,11.99,15.01,-0.22,0.212,-3.78,14.75,-32.68,25.12,85.08,85.65,88.86,88.06,-3.78,0.07,10.43
s28,vid_s28_T1.avi,none,CHROM,,34,9.56,11.58,0.081,0.647,-0.78,11.73,-23.76,22.21,88.09,87.54,88.86,88.06,-0.78,1.07,9.22
s28,vid_s28_T1.avi,none,POS,,34,9.75,11.72,0.098,0.582,-0.65,11.88,-23.93,22.62,88.21,88.38,88.86,88.06,-0.65,-0.5,8.66
s28,vid_s28_T1.avi,face_track,R,,34,11.07,14.14,-0.005,0.978,-4.02,13.76,-31.0,22.95,84.84,86.55,88.86,88.06,-4.02,-2.74,8.68
s28,vid_s28_T1.avi,face_track,G,,34,10.93,14.26,-0.051,0.774,-4.76,13.65,-31.51,21.98,84.1,84.97,88.86,88.06,-4.76,-2.72,8.75
s28,vid_s28_T1.avi,face_track,B,,34,11.77,14.87,-0.082,0.646,-4.49,14.39,-32.69,23.71,84.37,85.11,88.86,88.06,-4.49,-2.6,10.53
s28,vid_s28_T1.avi,face_track,GREY_W,,34,10.84,14.29,-0.032,0.858,-4.71,13.7,-31.56,22.14,84.16,84.73,88.86,88.06,-4.71,-1.03,8.59
s28,vid_s28_T1.avi,face_track,GREY_A,,34,10.97,14.4,-0.035,0.846,-4.71,13.81,-31.77,22.35,84.15,85.27,88.86,88.06,-4.71,-1.57,8.76
s28,vid_s28_T1.avi,face_track,PCA_1,,34,10.9,14.36,-0.03,0.867,-4.68,13.78,-31.69,22.33,84.19,84.96,88.86,88.06,-4.68,-1.02,8.4
s28,vid_s28_T1.avi,face_track,PCA_2,,34,11.45,13.69,-0.027,0.879,0.86,13.87,-26.33,28.04,89.72,90.33,88.86,88.06,0.86,-0.99,12.19
s28,vid_s28_T1.avi,face_track,PCA_3,,34,10.32,12.74,-0.105,0.555,-0.1,12.93,-25.45,25.24,88.76,87.84,88.86,88.06,-0.1,1.12,10.57
s28,vid_s28_T1.avi,face_track,ZCA_1,,34,11.97,14.6,-0.172,0.332,0.66,14.8,-28.36,29.68,89.52,90.25,88.86,88.06,0.66,0.46,10.76
s28,vid_s28_T1.avi,face_track,ZCA_2,,34,9.94,12.34,-0.009,0.959,-0.36,12.52,-24.9,24.18,88.51,87.41,88.86,88.06,-0.36,0.42,9.57
s28,vid_s28_T1.avi,face_track,ZCA_3,,34,11.18,13.55,-0.065,0.714,-1.33,13.69,-28.17,25.5,87.53,87.15,88.86,88.06,-1.33,-0.93,9.29
s28,vid_s28_T1.avi,face_track,Best_ICA_1,,34,10.75,12.92,-0.147,0.408,-0.39,13.11,-26.08,25.3,88.47,87.95,88.86,88.06,-0.39,0.88,10.37
s28,vid_s28_T1.avi,face_track,ICA_2,,34,10.88,13.86,-0.133,0.453,-0.64,14.05,-28.17,26.9,88.23,86.64,88.86,88.06,-0.64,0.62,9.41
s28,vid_s28_T1.avi,face_track,ICA_3,,34,10.38,12.19,0.05,0.777,-0.27,12.37,-24.51,23.97,88.6,88.87,88.86,88.06,-0.27,-0.02,9.37
s28,vid_s28_T1.avi,face_track,CHROM,,34,10.75,13.15,-0.181,0.305,1.58,13.25,-24.39,27.55,90.44,89.66,88.86,88.06,1.58,2.95,9.5
s28,vid_s28_T1.avi,face_track,POS,,34,10.18,12.58,-0.126,0.477,1.42,12.69,-23.44,26.29,90.29,90.34,88.86,88.06,1.42,3.2,8.56
s28,vid_s28_T1.avi,bbox_forehead,R,,34,10.17,13.24,0.068,0.7,0.49,13.43,-25.82,26.81,89.36,89.01,88.86,88.06,0.49,0.09,9.5
s28,vid_s28_T1.avi,bbox_forehead,G,,34,10.09,12.95,0.1,0.575,-0.22,13.14,-25.98,25.53,88.64,88.05,88.86,88.06,-0.22,-0.87,9.63
s28,vid_s28_T1.avi,bbox_forehead,B,,34,10.24,12.92,0.06,0.735,-0.4,13.11,-26.09,25.28,88.46,87.42,88.86,88.06,-0.4,-2.41,9.15
s28,vid_s28_T1.avi,bbox_forehead,GREY_W,,34,10.26,13.14,0.084,0.635,0.03,13.33,-26.11,26.16,88.89,87.93,88.86,88.06,0.03,-1.14,9.78
s28,vid_s28_T1.avi,bbox_forehead,GREY_A,,34,10.22,13.12,0.079,0.655,0.08,13.31,-26.02,26.17,88.94,87.64,88.86,88.06,0.08,-1.28,9.76
s28,vid_s28_T1.avi,bbox_forehead,PCA_1,,34,10.22,13.15,0.078,0.659,0.15,13.35,-26.01,26.31,89.01,87.83,88.86,88.06,0.15,-0.95,9.71
s28,vid_s28_T1.avi,bbox_forehead,PCA_2,,34,10.27,12.77,0.127,0.473,-2.05,12.8,-27.13,23.03,86.81,88.13,88.86,88.06,-2.05,-2.08,9.22
s28,vid_s28_T1.avi,bbox_forehead,PCA_3,,34,9.74,11.39,0.096,0.588,1.02,11.51,-21.55,23.58,89.88,90.59,88.86,88.06,1.02,3.67,9.1
s28,vid_s28_T1.avi,bbox_forehead,ZCA_1,,34,9.66,11.47,0.123,0.49,-0.04,11.64,-22.85,22.77,88.83,89.71,88.86,88.06,-0.04,-0.21,9.19
s28,vid_s28_T1.avi,bbox_forehead,ZCA_2,,34,9.96,11.89,-0.025,0.888,1.07,12.02,-22.49,24.63,89.94,90.92,88.86,88.06,1.07,2.32,8.86
s28,vid_s28_T1.avi,bbox_forehead,ZCA_3,,34,10.27,13.11,0.083,0.641,-2.21,13.11,-27.91,23.5,86.66,84.85,88.86,88.06,-2.21,-3.83,9.17
s28,vid_s28_T1.avi,bbox_forehead,ICA_1,,34,9.28,12.25,0.04,0.822,-1.83,12.3,-25.93,22.27,87.03,87.96,88.86,88.06,-1.83,-0.78,7.29
s28,vid_s28_T1.avi,bbox_forehead,Best_ICA_2,,34,9.47,11.66,-0.003,0.989,0.63,11.82,-22.54,23.81,89.5,90.21,88.86,88.06,0.63,-1.33,9.62
s28,vid_s28_T1.avi,bbox_forehead,ICA_3,,34,9.66,11.55,0.127,0.473,0.07,11.73,-22.91,23.06,88.94,89.45,88.86,88.06,0.07,0.15,8.38
s28,vid_s28_T1.avi,bbox_forehead,CHROM,,34,9.87,12.15,-0.057,0.751,0.9,12.3,-23.21,25.01,89.77,90.22,88.86,88.06,0.9,3.59,7.66
