frame,time_sec,vol,tenengrad,hf_ratio,aniso
0,0.0,331.5206298828125,4298.6416015625,0.0004445954206175546,2.2771751498787
1,0.028459,332.2581481933594,4292.6884765625,0.0004644642101832735,2.3213251765150975
2,0.056918,331.3885803222656,4282.591796875,0.0004727560238678957,2.397103771114926
3,0.085378,331.6949768066406,4276.017578125,0.0005195934852376108,2.463669070604556
4,0.113837,328.5103759765625,4230.87939453125,0.0005314105221917816,2.4810276759719576
5,0.142296,317.3966064453125,4140.08642578125,0.0005399938535407135,2.5104625845383377
6,0.170755,313.8614501953125,4109.46142578125,0.0005428354126964719,2.5292653884775467
7,0.199215,317.1774597167969,4134.603515625,0.0005576238457057107,2.5722829814166017
8,0.227674,323.7207946777344,4188.74609375,0.0005724702677977101,2.616920387801002
9,0.256133,328.5654296875,4234.34814453125,0.0005668501568370678,2.61679096305562
10,0.284592,328.60919189453125,4245.21142578125,0.0005453124482499088,2.560144280863292
11,0.313051,329.3135986328125,4259.51025390625,0.0005437979616851442,2.518303609724403
12,0.341511,330.67218017578125,4282.541015625,0.0005412611930303545,2.478960575354192
13,0.36997,332.3382263183594,4303.419921875,0.0005380591477448195,2.4452754029426993
14,0.398429,333.7599792480469,4327.560546875,0.0005388855160824272,2.4232239495892047
15,0.426888,335.4676513671875,4340.09228515625,0.00056087101148301,2.4320034556620445
16,0.455347,334.612060546875,4325.126953125,0.0005994607831223405,2.456184785444632
17,0.483807,335.4559020996094,4308.6904296875,0.0006723766889630888,2.5256065382912145
18,0.512266,316.8946533203125,4131.5107421875,0.0006318230813674794,2.476892058402643
19,0.540725,316.5910949707031,4119.11181640625,0.0006345197078628472,2.4565402875949847
20,0.569184,319.6856689453125,4084.783935546875,0.0005534895284610329,2.346076580370995
21,0.597644,313.9263000488281,4056.400634765625,0.0004899312619253357,2.2420401083003774
22,0.626103,316.4832458496094,4071.95263671875,0.0004254694057784604,2.1200481097441686
23,0.654562,319.804931640625,4126.0224609375,0.0004521094366251942,2.168876151595185
24,0.683021,339.0098876953125,4281.44580078125,0.000444982436287031,2.220119336388473
25,0.71148,356.6378479003906,4400.02001953125,0.0005877034333622899,2.173604902241786
26,0.73994,361.6893005371094,4465.8876953125,0.0006716049883373966,2.1929848423556977
27,0.768399,365.45611572265625,4462.01416015625,0.0007343813399779906,2.17281930292747
28,0.796858,349.9906921386719,4379.12109375,0.0007444595882928259,2.150935364546681
29,0.825317,345.68792724609375,4392.38525390625,0.0008263508581715631,2.1504661074723406
30,0.853777,343.694580078125,4431.392578125,0.0009336650477710126,2.1411869700809913
31,0.882236,348.64013671875,4246.84228515625,0.0010206942167551717,2.1790146154975982
32,0.910695,319.7784118652344,3896.162353515625,0.0011092991228406086,2.18318077155181
33,0.939154,324.6698913574219,3909.65673828125,0.001212359245713005,2.174422696954191
34,0.967613,354.8121643066406,4116.32666015625,0.0013006534961348072,2.141183377658517
35,0.996073,383.9344482421875,4331.955078125,0.00131525354334903,2.141762992321874
36,1.024532,370.4455871582031,4181.27783203125,0.0012903428720597557,2.123306983519321
37,1.052991,360.9012756347656,4145.212890625,0.0012805968088732494,2.099789280996553
38,1.08145,343.9538879394531,3893.161865234375,0.0012523862888277949,2.1079015290864906
39,1.109909,391.7790222167969,4083.52734375,0.0012803295095241845,2.094437004866322
40,1.138369,394.8980407714844,4444.537109375,0.001179403526653812,2.0377912548426016
41,1.166828,402.6570129394531,4471.763671875,0.0011899882769135291,2.0467203149424913
42,1.195287,436.3846435546875,4627.2109375,0.0014164628061508029,2.136483512323456
43,1.223746,422.8360595703125,4596.37646484375,0.0015186237223503538,2.105542502482834
44,1.252206,406.390625,4704.90087890625,0.0015216755849019148,2.080469061245232
45,1.280665,427.5160827636719,5051.29638671875,0.0016721559577841712,2.05686965269182
46,1.309124,481.8976745605469,5521.3681640625,0.00182966708845217,2.1120244695920736
47,1.337583,501.3376159667969,5948.42822265625,0.001689341288276038,2.0810902877022865
48,1.366042,533.8389282226562,6431.72900390625,0.0017811859295414699,2.079008258638292
49,1.394502,599.76220703125,7352.10595703125,0.0016967481631944515,2.0701202768223816
50,1.422961,660.9268798828125,8244.64453125,0.0017510433461202346,2.0863149942894244
51,1.45142,622.119873046875,8135.318359375,0.0017625374555737129,2.0994432959585314
52,1.479879,648.24755859375,8217.5087890625,0.0020549510297656268,2.0909747123794276
53,1.508339,620.7616577148438,7724.51806640625,0.002091254816619158,2.0744839135317488
54,1.536798,574.4871826171875,6985.2705078125,0.002114777493710162,2.0752423601828927
55,1.565257,554.1812133789062,6403.50732421875,0.0021471282505949197,2.0787854666261203
56,1.593716,501.0021057128906,5680.029296875,0.0021578376906781866,2.0880944533086714
57,1.622175,499.1784973144531,5655.453125,0.0021671323248818285,2.1063478784956517
58,1.650635,499.3133544921875,5636.1962890625,0.0022457647092168228,2.1490587979341176
59,1.679094,498.7525939941406,5618.751953125,0.0023008061611783284,2.1830944374588257
60,1.707553,496.8609619140625,5588.7763671875,0.002342805773261605,2.2356240377121943
61,1.736012,503.6872253417969,5593.458984375,0.0024434392450757274,2.2488454175585155
62,1.764472,512.3088989257812,5610.6357421875,0.002437416021849811,2.2510885138393517
63,1.792931,513.0451049804688,5590.4375,0.002439114439068817,2.269218546945233
64,1.82139,514.8197021484375,5574.490234375,0.0024506828173164884,2.274745811230118
65,1.849849,515.534423828125,5563.85888671875,0.0024593033418695144,2.269536028217543
66,1.878308,507.66644287109375,5491.96044921875,0.0024515653656208346,2.2774589039770015
67,1.906768,506.71923828125,5487.359375,0.0024566130416904543,2.2751913276172626
68,1.935227,508.3757019042969,5512.966796875,0.0024454295297554455,2.264722371786732
69,1.963686,509.50445556640625,5540.9150390625,0.002388686805017419,2.2591744700144956
70,1.992145,512.8092651367188,5579.52490234375,0.002327829779852416,2.250053818236711
71,2.020604,516.7730712890625,5621.4814453125,0.002330523848284244,2.239310236598889
72,2.049064,518.0823364257812,5641.79296875,0.0023232470330270616,2.2300653292706265
73,2.077523,520.5076904296875,5669.8876953125,0.0023538140604416127,2.236481828931474
74,2.105982,520.6638793945312,5682.5361328125,0.002361238526253607,2.239834977055434
75,2.134441,519.1410522460938,5674.19775390625,0.0023395458132812142,2.2363111938926434
76,2.162901,519.9053955078125,5670.34716796875,0.0023316509190083445,2.235361094729962
77,2.19136,517.6392822265625,5645.7041015625,0.0023095660804778925,2.231392603727899
78,2.219819,515.389404296875,5621.5517578125,0.0023104250976015363,2.2329628864177877
79,2.248278,514.128173828125,5602.34228515625,0.0023183461419554624,2.237146478570349
80,2.276737,514.0438232421875,5589.025390625,0.0023354950305903713,2.2332133849129887
81,2.305197,512.66796875,5569.4677734375,0.002342565881266329,2.2320922812015653
82,2.333656,510.5695495605469,5547.19384765625,0.0023687979655418107,2.2443003049179273
83,2.362115,509.86224365234375,5532.0625,0.002379051388673778,2.24488868883582
84,2.390574,507.39111328125,5511.1376953125,0.002334794538355399,2.2472538977096788
85,2.419034,503.6734619140625,5481.3798828125,0.0023014546659171856,2.2502673728806477
86,2.447493,500.4132995605469,5459.23876953125,0.002269548282861718,2.247933118179763
87,2.475952,501.24273681640625,5470.490234375,0.0022616520301051166,2.2458502709754185
88,2.504411,503.2161865234375,5495.5703125,0.0022593776522272786,2.245277908259286
89,2.53287,505.0240478515625,5521.15966796875,0.0022744593751994704,2.239597925134373
90,2.56133,506.71234130859375,5539.05322265625,0.0022957635739977106,2.2390425665453275
91,2.589789,507.1276550292969,5544.119140625,0.0022809237625851728,2.251121883199479
92,2.618248,507.5960693359375,5545.4794921875,0.0022747170057361966,2.271503750064657
93,2.646707,506.74505615234375,5550.205078125,0.002245511514172133,2.2643627966946944
94,2.675166,510.4017028808594,5575.09228515625,0.0022829215334006447,2.2406940641981294
95,2.703626,511.24554443359375,5576.857421875,0.0023159197827349294,2.2496676556257693
96,2.732085,510.6188049316406,5571.2275390625,0.002315315356875556,2.2500747934765544
97,2.760544,510.4914245605469,5568.228515625,0.0023212053809936258,2.250021804919398
98,2.789003,510.6048278808594,5570.6962890625,0.0023249396884477878,2.250944084192808
99,2.817463,510.6741943359375,5573.2265625,0.0023245209397308227,2.2503713557421476
100,2.845922,512.6080322265625,5582.40673828125,0.0023449827100679123,2.255467050125175
101,2.874381,513.578857421875,5587.76513671875,0.0023642779038965246,2.2578476698552317
102,2.90284,513.5516357421875,5592.431640625,0.0023680229714480162,2.253024241912772
103,2.931299,514.652587890625,5604.43408203125,0.0023736718111104557,2.2550883471864234
104,2.959759,514.083740234375,5610.94189453125,0.002367342342726916,2.2467999568665626
105,2.988218,513.8225708007812,5625.615234375,0.002347063006963942,2.2423081422959577
106,3.016677,511.6888122558594,5628.568359375,0.0023327935740003304,2.2416819620706945
107,3.045136,509.81103515625,5634.439453125,0.0023233610059241044,2.2401721264789476
108,3.073596,509.0417175292969,5645.22705078125,0.002315704499252803,2.241241093405758
109,3.102055,508.1993713378906,5655.69921875,0.0023014637287945908,2.237255397806748
110,3.130514,508.3982849121094,5668.17431640625,0.0023107601804717008,2.2382653998747437
111,3.158973,508.3039245605469,5673.81103515625,0.00230923041433521,2.241362088190681
112,3.187432,509.3395080566406,5677.16259765625,0.0023315698868950165,2.269335569313506
113,3.215892,514.29736328125,5692.6572265625,0.0024311592470751945,2.2773045974948376
114,3.244351,514.070556640625,5692.6279296875,0.0024078719884011285,2.2823844476797372
115,3.27281,512.66796875,5690.16943359375,0.0023797512457648306,2.293071413989614
116,3.301269,514.5086059570312,5734.30712890625,0.0022725953872185147,2.2569928791697227
117,3.329728,518.0064086914062,5761.93359375,0.002281164868266898,2.239312465674215
118,3.358188,518.6365966796875,5757.72412109375,0.002304929388047025,2.2422879766533015
119,3.386647,518.3255004882812,5749.25732421875,0.0023190524449321973,2.241504164839812
120,3.415106,517.2998046875,5735.279296875,0.0023390331256675475,2.244813001302311
121,3.443565,516.415283203125,5724.845703125,0.002350253811750772,2.2445684558122925
122,3.472025,516.10791015625,5717.79052734375,0.0023495900080283245,2.239765468514464
