Technique,Method,ROI,MAE (bpm),r,p,n
WELCH,G,Face tracking (BlazeFace forehead),34.69,-0.11,0.422,53
WELCH,B,Face tracking (BlazeFace forehead),33.53,-0.02,0.883,53
WELCH,GREY Weight,Face tracking (BlazeFace forehead),33.63,-0.06,0.667,53
WELCH,GREY Avg,Face tracking (BlazeFace forehead),33.6,-0.06,0.682,53
WELCH,PCA,Face tracking (BlazeFace forehead),33.36,-0.11,0.417,53
WELCH,ZCA,Face tracking (BlazeFace forehead),33.98,-0.08,0.549,53
WELCH,ICA,Face tracking (BlazeFace forehead),36.38,-0.02,0.887,53
WELCH,CHROM,Face tracking (BlazeFace forehead),42.86,0.24,0.083,53
WELCH,POS,Face tracking (BlazeFace forehead),47.74,-0.08,0.586,53
WELCH,R,Polygonal forehead (Landmarker),32.81,0.01,0.932,53
WELCH,G,Polygonal forehead (Landmarker),33.39,-0.0,0.975,53
WELCH,B,Polygonal forehead (Landmarker),30.92,0.24,0.078,53
WELCH,GREY Weight,Polygonal forehead (Landmarker),31.06,0.14,0.329,53
WELCH,GREY Avg,Polygonal forehead (Landmarker),31.66,0.1,0.467,53
WELCH,PCA,Polygonal forehead (Landmarker),31.98,0.13,0.365,53
WELCH,ZCA,Polygonal forehead (Landmarker),35.38,-0.11,0.424,53
WELCH,ICA,Polygonal forehead (Landmarker),34.18,0.08,0.571,53
WELCH,CHROM,Polygonal forehead (Landmarker),41.21,0.06,0.692,53
WELCH,POS,Polygonal forehead (Landmarker),40.87,0.12,0.404,53
WELCH,R,Polygonal (Landmarker; forehead + cheeks),36.2,-0.24,0.087,53
WELCH,G,Polygonal (Landmarker; forehead + cheeks),36.56,-0.1,0.472,53
WELCH,B,Polygonal (Landmarker; forehead + cheeks),34.48,0.04,0.777,53
WELCH,GREY Weight,Polygonal (Landmarker; forehead + cheeks),36.42,-0.18,0.189,53
WELCH,GREY Avg,Polygonal (Landmarker; forehead + cheeks),36.19,-0.17,0.220,53
WELCH,PCA,Polygonal (Landmarker; forehead + cheeks),32.94,-0.1,0.473,53
WELCH,ZCA,Polygonal (Landmarker; forehead + cheeks),33.03,-0.11,0.416,53
WELCH,ICA,Polygonal (Landmarker; forehead + cheeks),33.71,0.09,0.543,53
WELCH,CHROM,Polygonal (Landmarker; forehead + cheeks),51.45,-0.23,0.098,53
WELCH,POS,Polygonal (Landmarker; forehead + cheeks),52.52,-0.03,0.825,53
HILBERT,R,Full frame (baseline),24.46,0.02,0.884,53
HILBERT,G,Full frame (baseline),26.92,-0.34,0.012,53
HILBERT,B,Full frame (baseline),27.2,-0.32,0.019,53
HILBERT,GREY Weight,Full frame (baseline),25.22,-0.34,0.012,53
HILBERT,GREY Avg,Full frame (baseline),26.48,-0.35,0.010,53
HILBERT,PCA,Full frame (baseline),26.39,-0.34,0.013,53
HILBERT,ZCA,Full frame (baseline),23.71,-0.05,0.720,54
HILBERT,ICA,Full frame (baseline),24.21,-0.31,0.023,54
HILBERT,CHROM,Full frame (baseline),27.17,0.14,0.327,54
HILBERT,POS,Full frame (baseline),27.06,-0.02,0.906,54
HILBERT,R,Manual crop ROI,18.93,0.19,0.160,54
HILBERT,G,Manual crop ROI,24.63,-0.2,0.140,54
HILBERT,B,Manual crop ROI,20.84,0.16,0.262,54
HILBERT,GREY Weight,Manual crop ROI,23.69,-0.27,0.046,54
HILBERT,GREY Avg,Manual crop ROI,24.26,-0.36,0.008,54
HILBERT,PCA,Manual crop ROI,22.82,-0.01,0.953,54
HILBERT,ZCA,Manual crop ROI,36.6,-0.43,0.001,53
HILBERT,ICA,Manual crop ROI,22.23,0.18,0.196,54
HILBERT,CHROM,Manual crop ROI,49.34,0.25,0.064,54
HILBERT,POS,Manual crop ROI,47.19,0.13,0.351,54
HILBERT,R,Face tracking (BlazeFace),25.99,-0.1,0.473,54
HILBERT,G,Face tracking (BlazeFace),26.85,-0.31,0.021,54
HILBERT,B,Face tracking (BlazeFace),29.05,-0.6,<0.001,54
HILBERT,GREY Weight,Face tracking (BlazeFace),27.09,-0.33,0.015,54
HILBERT,GREY Avg,Face tracking (BlazeFace),28.39,-0.47,<0.001,54
HILBERT,PCA,Face tracking (BlazeFace),26.9,-0.3,0.030,54
HILBERT,ZCA,Face tracking (BlazeFace),25.88,-0.42,0.001,54
HILBERT,ICA,Face tracking (BlazeFace),21.26,0.2,0.142,54
HILBERT,CHROM,Face tracking (BlazeFace),34.02,0.28,0.038,54
HILBERT,POS,Face tracking (BlazeFace),33.95,0.02,0.913,54
HILBERT,R,Face tracking (BlazeFace forehead),27.37,-0.11,0.417,54
HILBERT,G,Face tracking (BlazeFace forehead),32.16,-0.4,0.003,54
HILBERT,B,Face tracking (BlazeFace forehead),28.54,-0.33,0.016,54
HILBERT,GREY Weight,Face tracking (BlazeFace forehead),28.77,-0.2,0.156,54
HILBERT,GREY Avg,Face tracking (BlazeFace forehead),28.71,-0.21,0.131,54
HILBERT,PCA,Face tracking (BlazeFace forehead),24.81,-0.32,0.020,53
HILBERT,ZCA,Face tracking (BlazeFace forehead),30.03,-0.17,0.211,54
HILBERT,ICA,Face tracking (BlazeFace forehead),33.4,0.26,0.063,53
HILBERT,CHROM,Face tracking (BlazeFace forehead),50.26,0.82,<0.001,54
HILBERT,POS,Face tracking (BlazeFace forehead),46.83,0.29,0.034,54
HILBERT,R,Polygonal forehead (Landmarker),24.2,-0.18,0.200,54
HILBERT,G,Polygonal forehead (Landmarker),24.82,-0.59,<0.001,54
HILBERT,B,Polygonal forehead (Landmarker),25.91,-0.32,0.020,53
HILBERT,GREY Weight,Polygonal forehead (Landmarker),22.23,-0.21,0.125,54
HILBERT,GREY Avg,Polygonal forehead (Landmarker),24.4,-0.47,<0.001,54
HILBERT,PCA,Polygonal forehead (Landmarker),23.74,-0.01,0.962,53
HILBERT,ZCA,Polygonal forehead (Landmarker),24.6,-0.16,0.264,53
HILBERT,ICA,Polygonal forehead (Landmarker),28.56,-0.36,0.008,53
HILBERT,CHROM,Polygonal forehead (Landmarker),45.27,-0.03,0.807,54
HILBERT,POS,Polygonal forehead (Landmarker),44.96,0.16,0.240,54
HILBERT,R,Polygonal (Landmarker; forehead + cheeks),28.91,-0.4,0.003,54
HILBERT,G,Polygonal (Landmarker; forehead + cheeks),26.76,-0.1,0.463,54
HILBERT,B,Polygonal (Landmarker; forehead + cheeks),30.5,-0.47,<0.001,54
HILBERT,GREY Weight,Polygonal (Landmarker; forehead + cheeks),29.14,-0.37,0.006,54
HILBERT,GREY Avg,Polygonal (Landmarker; forehead + cheeks),30.94,-0.46,<0.001,54
HILBERT,PCA,Polygonal (Landmarker; forehead + cheeks),23.72,0.06,0.691,54
HILBERT,ZCA,Polygonal (Landmarker; forehead + cheeks),27.78,-0.24,0.083,54
HILBERT,ICA,Polygonal (Landmarker; forehead + cheeks),24.11,-0.08,0.573,54
HILBERT,CHROM,Polygonal (Landmarker; forehead + cheeks),51.75,0.56,<0.001,54
HILBERT,POS,Polygonal (Landmarker; forehead + cheeks),54.93,0.62,<0.001,54
