Technique,Method,ROI,MAE (bpm),r,p,n
FFT,R,Full frame (baseline),18.35,-0.34,0.013,53
FFT,G,Full frame (baseline),18.44,-0.1,0.464,53
FFT,B,Full frame (baseline),19.55,0.04,0.772,53
FFT,GREY Weight,Full frame (baseline),18.78,-0.08,0.567,53
FFT,GREY Avg,Full frame (baseline),19.35,-0.12,0.399,53
FFT,PCA,Full frame (baseline),15.76,0.15,0.298,53
FFT,ZCA,Full frame (baseline),16.86,-0.24,0.082,53
FFT,ICA,Full frame (baseline),15.96,0.17,0.211,53
FFT,CHROM,Full frame (baseline),21.41,0.05,0.727,53
FFT,POS,Full frame (baseline),23.27,-0.36,0.008,53
FFT,R,Manual crop ROI,18.36,0.04,0.766,53
FFT,G,Manual crop ROI,18.97,0.09,0.511,53
FFT,B,Manual crop ROI,19.38,-0.1,0.454,53
FFT,GREY Weight,Manual crop ROI,20.2,0.01,0.926,53
FFT,GREY Avg,Manual crop ROI,19.52,0.01,0.960,53
FFT,PCA,Manual crop ROI,19.52,0.01,0.960,53
FFT,ZCA,Manual crop ROI,22.62,-0.25,0.072,53
FFT,ICA,Manual crop ROI,19.05,-0.26,0.061,53
FFT,CHROM,Manual crop ROI,20.68,0.44,0.001,53
FFT,POS,Manual crop ROI,21.19,0.6,<0.001,53
FFT,R,Face tracking (BlazeFace),18.56,-0.05,0.731,53
FFT,G,Face tracking (BlazeFace),18.95,-0.04,0.761,53
FFT,B,Face tracking (BlazeFace),18.22,-0.06,0.673,53
FFT,GREY Weight,Face tracking (BlazeFace),18.73,-0.03,0.850,53
FFT,GREY Avg,Face tracking (BlazeFace),18.39,-0.05,0.728,53
FFT,PCA,Face tracking (BlazeFace),18.39,-0.05,0.728,53
FFT,ZCA,Face tracking (BlazeFace),19.77,-0.49,<0.001,53
FFT,ICA,Face tracking (BlazeFace),18.72,-0.22,0.109,53
FFT,CHROM,Face tracking (BlazeFace),18.52,0.21,0.123,53
FFT,POS,Face tracking (BlazeFace),20.6,0.32,0.018,53
FFT,R,Face tracking (BlazeFace forehead),16.74,-0.28,0.044,53
FFT,G,Face tracking (BlazeFace forehead),15.58,-0.04,0.755,53
FFT,B,Face tracking (BlazeFace forehead),18.21,0.13,0.349,53
FFT,GREY Weight,Face tracking (BlazeFace forehead),16.1,-0.15,0.288,53
FFT,GREY Avg,Face tracking (BlazeFace forehead),16.69,-0.0,0.981,53
FFT,PCA,Face tracking (BlazeFace forehead),16.69,-0.01,0.965,53
FFT,ZCA,Face tracking (BlazeFace forehead),16.59,-0.22,0.110,53
FFT,ICA,Face tracking (BlazeFace forehead),15.81,-0.38,0.005,53
FFT,CHROM,Face tracking (BlazeFace forehead),21.23,-0.18,0.197,53
FFT,POS,Face tracking (BlazeFace forehead),19.41,-0.11,0.436,53
FFT,R,Polygonal forehead (Landmarker),17.22,-0.33,0.017,53
FFT,G,Polygonal forehead (Landmarker),20.22,-0.14,0.305,53
FFT,B,Polygonal forehead (Landmarker),16.43,-0.25,0.070,53
FFT,GREY Weight,Polygonal forehead (Landmarker),17.62,-0.23,0.103,53
FFT,GREY Avg,Polygonal forehead (Landmarker),17.18,-0.15,0.271,53
FFT,PCA,Polygonal forehead (Landmarker),16.29,0.08,0.569,53
FFT,ZCA,Polygonal forehead (Landmarker),15.04,0.17,0.222,53
FFT,ICA,Polygonal forehead (Landmarker),15.75,-0.18,0.207,53
FFT,CHROM,Polygonal forehead (Landmarker),19.95,-0.05,0.720,53
FFT,POS,Polygonal forehead (Landmarker),19.58,-0.07,0.637,53
FFT,R,Polygonal (Landmarker; forehead + cheeks),13.48,-0.05,0.703,53
FFT,G,Polygonal (Landmarker; forehead + cheeks),14.46,-0.1,0.456,53
FFT,B,Polygonal (Landmarker; forehead + cheeks),14.91,-0.18,0.196,53
FFT,GREY Weight,Polygonal (Landmarker; forehead + cheeks),14.46,-0.1,0.456,53
FFT,GREY Avg,Polygonal (Landmarker; forehead + cheeks),14.39,-0.13,0.369,53
FFT,PCA,Polygonal (Landmarker; forehead + cheeks),14.39,-0.13,0.369,53
FFT,ZCA,Polygonal (Landmarker; forehead + cheeks),17.63,-0.26,0.058,53
FFT,ICA,Polygonal (Landmarker; forehead + cheeks),16.97,0.06,0.686,53
FFT,CHROM,Polygonal (Landmarker; forehead + cheeks),22.61,0.33,0.015,53
FFT,POS,Polygonal (Landmarker; forehead + cheeks),21.61,0.23,0.101,53
WELCH,R,Full frame (baseline),19.19,-0.42,0.002,53
WELCH,G,Full frame (baseline),15.95,-0.1,0.481,53
WELCH,B,Full frame (baseline),16.9,-0.05,0.716,53
WELCH,GREY Weight,Full frame (baseline),17.02,-0.27,0.052,53
WELCH,GREY Avg,Full frame (baseline),17.18,-0.27,0.047,53
WELCH,PCA,Full frame (baseline),14.57,0.01,0.956,53
WELCH,ZCA,Full frame (baseline),16.24,-0.35,0.011,53
WELCH,ICA,Full frame (baseline),14.74,0.01,0.956,53
WELCH,CHROM,Full frame (baseline),21.69,-0.07,0.611,53
WELCH,POS,Full frame (baseline),23.22,-0.33,0.016,53
WELCH,R,Manual crop ROI,18.19,-0.03,0.854,53
WELCH,G,Manual crop ROI,18.21,-0.01,0.926,53
WELCH,B,Manual crop ROI,18.82,0.03,0.829,53
WELCH,GREY Weight,Manual crop ROI,18.28,-0.01,0.923,53
WELCH,GREY Avg,Manual crop ROI,18.1,-0.02,0.873,53
WELCH,PCA,Manual crop ROI,18.08,-0.02,0.876,53
WELCH,ZCA,Manual crop ROI,20.15,-0.45,<0.001,53
WELCH,ICA,Manual crop ROI,18.74,-0.25,0.072,53
WELCH,CHROM,Manual crop ROI,21.13,0.24,0.089,53
WELCH,POS,Manual crop ROI,23.91,0.03,0.819,53
WELCH,R,Face tracking (BlazeFace),19.08,-0.02,0.884,53
WELCH,G,Face tracking (BlazeFace),17.75,-0.0,0.980,53
WELCH,B,Face tracking (BlazeFace),17.78,0.0,0.979,53
WELCH,GREY Weight,Face tracking (BlazeFace),18.22,0.04,0.796,53
WELCH,GREY Avg,Face tracking (BlazeFace),18.15,0.04,0.776,53
WELCH,PCA,Face tracking (BlazeFace),18.15,0.04,0.776,53
WELCH,ZCA,Face tracking (BlazeFace),19.44,-0.3,0.028,53
WELCH,ICA,Face tracking (BlazeFace),17.48,0.01,0.937,53
WELCH,CHROM,Face tracking (BlazeFace),21.55,-0.1,0.471,53
WELCH,POS,Face tracking (BlazeFace),20.52,0.19,0.176,53
WELCH,R,Face tracking (BlazeFace forehead),15.74,0.08,0.584,53
WELCH,G,Face tracking (BlazeFace forehead),16.99,-0.06,0.677,53
WELCH,B,Face tracking (BlazeFace forehead),20.94,-0.24,0.079,53
WELCH,GREY Weight,Face tracking (BlazeFace forehead),17.08,0.03,0.848,53
WELCH,GREY Avg,Face tracking (BlazeFace forehead),16.82,0.11,0.435,53
WELCH,PCA,Face tracking (BlazeFace forehead),16.05,0.17,0.210,53
WELCH,ZCA,Face tracking (BlazeFace forehead),17.12,-0.23,0.091,53
WELCH,ICA,Face tracking (BlazeFace forehead),17.22,0.16,0.261,53
WELCH,CHROM,Face tracking (BlazeFace forehead),20.08,-0.05,0.734,53
WELCH,POS,Face tracking (BlazeFace forehead),21.1,-0.36,0.009,53
WELCH,R,Polygonal forehead (Landmarker),17.17,-0.13,0.347,53
WELCH,G,Polygonal forehead (Landmarker),20.53,-0.03,0.820,53
WELCH,B,Polygonal forehead (Landmarker),16.73,-0.23,0.099,53
WELCH,GREY Weight,Polygonal forehead (Landmarker),18.16,-0.16,0.248,53
WELCH,GREY Avg,Polygonal forehead (Landmarker),19.61,-0.23,0.103,53
WELCH,PCA,Polygonal forehead (Landmarker),16.16,0.27,0.053,53
WELCH,ZCA,Polygonal forehead (Landmarker),16.54,0.32,0.021,53
WELCH,ICA,Polygonal forehead (Landmarker),16.73,-0.04,0.751,53
WELCH,CHROM,Polygonal forehead (Landmarker),19.94,-0.08,0.561,53
WELCH,POS,Polygonal forehead (Landmarker),19.5,0.01,0.935,53
WELCH,R,Polygonal (Landmarker; forehead + cheeks),15.69,-0.22,0.121,53
WELCH,G,Polygonal (Landmarker; forehead + cheeks),14.1,-0.03,0.816,53
WELCH,B,Polygonal (Landmarker; forehead + cheeks),14.88,-0.13,0.361,53
WELCH,GREY Weight,Polygonal (Landmarker; forehead + cheeks),14.91,-0.2,0.148,53
WELCH,GREY Avg,Polygonal (Landmarker; forehead + cheeks),14.96,-0.2,0.142,53
WELCH,PCA,Polygonal (Landmarker; forehead + cheeks),14.57,-0.15,0.287,53
WELCH,ZCA,Polygonal (Landmarker; forehead + cheeks),17.99,-0.38,0.006,53
WELCH,ICA,Polygonal (Landmarker; forehead + cheeks),18.24,-0.18,0.207,53
WELCH,CHROM,Polygonal (Landmarker; forehead + cheeks),22.75,0.12,0.383,53
WELCH,POS,Polygonal (Landmarker; forehead + cheeks),20.94,0.11,0.439,53
HILBERT,R,Full frame (baseline),9.48,-0.13,0.348,54
HILBERT,G,Full frame (baseline),8.98,-0.43,0.001,54
HILBERT,B,Full frame (baseline),8.48,0.04,0.779,54
HILBERT,GREY Weight,Full frame (baseline),8.98,-0.39,0.004,54
HILBERT,GREY Avg,Full frame (baseline),8.22,-0.19,0.175,54
HILBERT,PCA,Full frame (baseline),8.2,-0.3,0.029,54
HILBERT,ZCA,Full frame (baseline),16.44,-0.32,0.020,54
HILBERT,ICA,Full frame (baseline),7.54,-0.1,0.486,54
HILBERT,CHROM,Full frame (baseline),22.0,0.7,<0.001,54
HILBERT,POS,Full frame (baseline),19.99,0.52,<0.001,54
HILBERT,R,Manual crop ROI,9.38,-0.66,<0.001,54
HILBERT,G,Manual crop ROI,8.31,-0.42,0.001,54
HILBERT,B,Manual crop ROI,7.49,-0.44,<0.001,54
HILBERT,GREY Weight,Manual crop ROI,7.8,-0.41,0.002,54
HILBERT,GREY Avg,Manual crop ROI,7.92,-0.4,0.002,54
HILBERT,PCA,Manual crop ROI,7.88,-0.39,0.004,54
HILBERT,ZCA,Manual crop ROI,18.78,0.46,<0.001,54
HILBERT,ICA,Manual crop ROI,12.57,0.32,0.018,54
HILBERT,CHROM,Manual crop ROI,19.78,0.7,<0.001,54
HILBERT,POS,Manual crop ROI,23.4,0.65,<0.001,54
HILBERT,R,Face tracking (BlazeFace),8.94,-0.62,<0.001,54
HILBERT,G,Face tracking (BlazeFace),10.54,-0.51,<0.001,54
HILBERT,B,Face tracking (BlazeFace),9.41,-0.4,0.003,54
HILBERT,GREY Weight,Face tracking (BlazeFace),10.55,-0.55,<0.001,54
HILBERT,GREY Avg,Face tracking (BlazeFace),8.73,-0.46,<0.001,54
HILBERT,PCA,Face tracking (BlazeFace),8.66,-0.48,<0.001,54
HILBERT,ZCA,Face tracking (BlazeFace),17.36,-0.65,<0.001,54
HILBERT,ICA,Face tracking (BlazeFace),8.39,-0.35,0.009,54
