Technique,Method,ROI,MAE (bpm),r,p,n
HILBERT,CHROM,Face tracking (BlazeFace),19.47,0.74,<0.001,54
HILBERT,POS,Face tracking (BlazeFace),21.19,0.72,<0.001,53
HILBERT,R,Face tracking (BlazeFace forehead),15.24,-0.5,<0.001,54
HILBERT,G,Face tracking (BlazeFace forehead),13.05,-0.19,0.173,54
HILBERT,B,Face tracking (BlazeFace forehead),18.48,-0.75,<0.001,54
HILBERT,GREY Weight,Face tracking (BlazeFace forehead),13.28,-0.46,<0.001,54
HILBERT,GREY Avg,Face tracking (BlazeFace forehead),13.72,-0.33,0.015,54
HILBERT,PCA,Face tracking (BlazeFace forehead),9.54,-0.25,0.063,54
HILBERT,ZCA,Face tracking (BlazeFace forehead),12.63,-0.8,<0.001,54
HILBERT,ICA,Face tracking (BlazeFace forehead),10.27,0.09,0.500,54
HILBERT,CHROM,Face tracking (BlazeFace forehead),20.99,-0.05,0.744,54
HILBERT,POS,Face tracking (BlazeFace forehead),21.6,-0.4,0.002,54
HILBERT,R,Polygonal forehead (Landmarker),11.56,-0.55,<0.001,54
HILBERT,G,Polygonal forehead (Landmarker),8.57,0.11,0.439,54
HILBERT,B,Polygonal forehead (Landmarker),9.89,0.34,0.013,54
HILBERT,GREY Weight,Polygonal forehead (Landmarker),3.62,0.79,<0.001,54
HILBERT,GREY Avg,Polygonal forehead (Landmarker),6.31,0.15,0.276,54
HILBERT,PCA,Polygonal forehead (Landmarker),6.25,-0.18,0.205,54
HILBERT,ZCA,Polygonal forehead (Landmarker),10.82,-0.6,<0.001,54
HILBERT,ICA,Polygonal forehead (Landmarker),5.31,0.75,<0.001,54
HILBERT,CHROM,Polygonal forehead (Landmarker),16.94,0.25,0.066,54
HILBERT,POS,Polygonal forehead (Landmarker),16.01,-0.25,0.070,54
HILBERT,R,Polygonal (Landmarker; forehead + cheeks),5.38,0.33,0.015,54
HILBERT,G,Polygonal (Landmarker; forehead + cheeks),5.75,0.36,0.008,54
HILBERT,B,Polygonal (Landmarker; forehead + cheeks),7.34,-0.74,<0.001,54
HILBERT,GREY Weight,Polygonal (Landmarker; forehead + cheeks),6.12,0.03,0.810,54
HILBERT,GREY Avg,Polygonal (Landmarker; forehead + cheeks),6.87,-0.26,0.056,54
HILBERT,PCA,Polygonal (Landmarker; forehead + cheeks),6.8,-0.29,0.036,54
HILBERT,ZCA,Polygonal (Landmarker; forehead + cheeks),9.5,-0.64,<0.001,54
HILBERT,ICA,Polygonal (Landmarker; forehead + cheeks),8.53,-0.75,<0.001,54
HILBERT,CHROM,Polygonal (Landmarker; forehead + cheeks),25.16,0.58,<0.001,54
HILBERT,POS,Polygonal (Landmarker; forehead + cheeks),22.49,0.8,<0.001,54
