Technique,Method,ROI,MAE (bpm),r,p,n
FFT,R,Full frame (baseline),11.72,-0.26,0.055,53
FFT,G,Full frame (baseline),12.63,-0.35,0.009,53
FFT,B,Full frame (baseline),13.78,-0.31,0.023,53
FFT,GREY Weight,Full frame (baseline),13.25,-0.41,0.002,53
FFT,GREY Avg,Full frame (baseline),13.69,-0.38,0.005,53
FFT,PCA,Full frame (baseline),1.12,0.34,0.014,53
FFT,ZCA,Full frame (baseline),1.13,0.33,0.017,53
FFT,ICA,Full frame (baseline),1.12,0.34,0.014,53
FFT,CHROM,Full frame (baseline),1.13,0.33,0.017,53
FFT,POS,Full frame (baseline),1.12,0.34,0.014,53
FFT,R,Manual crop ROI,7.97,0.33,0.016,53
FFT,G,Manual crop ROI,9.98,-0.06,0.654,53
FFT,B,Manual crop ROI,8.59,0.1,0.478,53
FFT,GREY Weight,Manual crop ROI,15.11,-0.14,0.326,53
FFT,GREY Avg,Manual crop ROI,12.16,-0.03,0.844,53
FFT,PCA,Manual crop ROI,1.02,0.37,0.006,53
FFT,ZCA,Manual crop ROI,1.13,0.33,0.017,53
FFT,ICA,Manual crop ROI,1.15,0.34,0.014,53
FFT,CHROM,Manual crop ROI,1.14,0.3,0.029,53
FFT,POS,Manual crop ROI,0.97,0.39,0.004,53
FFT,R,Face tracking (BlazeFace),11.26,0.19,0.182,53
FFT,G,Face tracking (BlazeFace),10.1,0.04,0.751,53
FFT,B,Face tracking (BlazeFace),12.53,0.08,0.580,53
FFT,GREY Weight,Face tracking (BlazeFace),12.77,-0.02,0.861,53
FFT,GREY Avg,Face tracking (BlazeFace),12.94,-0.03,0.848,53
FFT,PCA,Face tracking (BlazeFace),1.12,0.34,0.014,53
FFT,ZCA,Face tracking (BlazeFace),1.23,0.28,0.041,53
FFT,ICA,Face tracking (BlazeFace),1.12,0.34,0.014,53
FFT,CHROM,Face tracking (BlazeFace),1.3,0.11,0.425,53
FFT,POS,Face tracking (BlazeFace),1.19,0.19,0.162,53
FFT,R,Face tracking (BlazeFace forehead),11.36,0.17,0.224,53
FFT,G,Face tracking (BlazeFace forehead),13.47,0.01,0.915,53
FFT,B,Face tracking (BlazeFace forehead),12.14,0.05,0.748,53
FFT,GREY Weight,Face tracking (BlazeFace forehead),14.39,0.0,0.979,53
FFT,GREY Avg,Face tracking (BlazeFace forehead),12.93,0.1,0.482,53
FFT,PCA,Face tracking (BlazeFace forehead),1.14,0.38,0.005,53
FFT,ZCA,Face tracking (BlazeFace forehead),1.1,0.45,<0.001,53
FFT,ICA,Face tracking (BlazeFace forehead),1.1,0.36,0.009,53
FFT,CHROM,Face tracking (BlazeFace forehead),1.17,0.29,0.034,53
FFT,POS,Face tracking (BlazeFace forehead),1.07,0.36,0.008,53
FFT,R,Polygonal forehead (Landmarker),4.83,-0.05,0.720,53
FFT,G,Polygonal forehead (Landmarker),7.58,-0.12,0.387,53
FFT,B,Polygonal forehead (Landmarker),6.86,-0.04,0.762,53
FFT,GREY Weight,Polygonal forehead (Landmarker),9.24,-0.08,0.564,53
FFT,GREY Avg,Polygonal forehead (Landmarker),7.87,0.01,0.940,53
FFT,PCA,Polygonal forehead (Landmarker),1.32,0.45,<0.001,53
FFT,ZCA,Polygonal forehead (Landmarker),1.82,0.43,0.001,53
FFT,ICA,Polygonal forehead (Landmarker),1.38,0.53,<0.001,53
FFT,CHROM,Polygonal forehead (Landmarker),1.06,0.33,0.015,53
FFT,POS,Polygonal forehead (Landmarker),1.12,0.34,0.014,53
FFT,R,Polygonal (Landmarker; forehead + cheeks),14.7,0.22,0.107,53
FFT,G,Polygonal (Landmarker; forehead + cheeks),6.5,0.21,0.134,53
FFT,B,Polygonal (Landmarker; forehead + cheeks),13.99,0.22,0.106,53
FFT,GREY Weight,Polygonal (Landmarker; forehead + cheeks),11.97,0.16,0.251,53
FFT,GREY Avg,Polygonal (Landmarker; forehead + cheeks),13.28,0.15,0.298,53
FFT,PCA,Polygonal (Landmarker; forehead + cheeks),1.3,0.34,0.013,53
FFT,ZCA,Polygonal (Landmarker; forehead + cheeks),1.37,0.24,0.086,53
FFT,ICA,Polygonal (Landmarker; forehead + cheeks),1.35,0.28,0.046,53
FFT,CHROM,Polygonal (Landmarker; forehead + cheeks),1.23,0.19,0.177,53
FFT,POS,Polygonal (Landmarker; forehead + cheeks),1.2,0.4,0.003,53
