Technique,Method,ROI,MAE (bpm),r,p,n
WELCH,R,Full frame (baseline),11.6,-0.08,0.589,53
WELCH,G,Full frame (baseline),10.77,-0.04,0.797,53
WELCH,B,Full frame (baseline),13.7,-0.0,0.980,53
WELCH,GREY Weight,Full frame (baseline),12.21,0.05,0.707,53
WELCH,GREY Avg,Full frame (baseline),13.69,0.0,0.985,53
WELCH,PCA,Full frame (baseline),1.19,0.25,0.068,53
WELCH,ZCA,Full frame (baseline),1.53,0.16,0.249,53
WELCH,ICA,Full frame (baseline),1.16,0.27,0.050,53
WELCH,CHROM,Full frame (baseline),1.26,0.2,0.144,53
WELCH,POS,Full frame (baseline),1.2,0.25,0.069,53
WELCH,R,Manual crop ROI,9.46,0.14,0.328,53
WELCH,G,Manual crop ROI,11.24,-0.11,0.431,53
WELCH,B,Manual crop ROI,11.85,0.11,0.430,53
WELCH,GREY Weight,Manual crop ROI,17.25,-0.02,0.892,53
WELCH,GREY Avg,Manual crop ROI,15.13,0.06,0.666,53
WELCH,PCA,Manual crop ROI,1.22,0.22,0.110,53
WELCH,ZCA,Manual crop ROI,1.57,-0.01,0.964,53
WELCH,ICA,Manual crop ROI,1.32,0.34,0.012,53
WELCH,CHROM,Manual crop ROI,1.14,0.2,0.146,53
WELCH,POS,Manual crop ROI,1.06,0.26,0.065,53
WELCH,R,Face tracking (BlazeFace),9.88,0.08,0.587,53
WELCH,G,Face tracking (BlazeFace),13.21,0.02,0.859,53
WELCH,B,Face tracking (BlazeFace),12.52,0.04,0.752,53
WELCH,GREY Weight,Face tracking (BlazeFace),14.84,-0.04,0.768,53
WELCH,GREY Avg,Face tracking (BlazeFace),14.89,-0.04,0.759,53
WELCH,PCA,Face tracking (BlazeFace),1.29,0.19,0.184,53
WELCH,ZCA,Face tracking (BlazeFace),1.66,0.07,0.608,53
WELCH,ICA,Face tracking (BlazeFace),1.55,0.28,0.040,53
WELCH,CHROM,Face tracking (BlazeFace),1.2,0.19,0.175,53
WELCH,POS,Face tracking (BlazeFace),1.13,0.22,0.121,53
WELCH,R,Face tracking (BlazeFace forehead),14.3,0.1,0.484,53
WELCH,G,Face tracking (BlazeFace forehead),15.64,-0.03,0.806,53
WELCH,B,Face tracking (BlazeFace forehead),11.11,0.21,0.132,53
WELCH,GREY Weight,Face tracking (BlazeFace forehead),14.04,0.06,0.693,53
WELCH,GREY Avg,Face tracking (BlazeFace forehead),13.33,0.1,0.493,53
WELCH,PCA,Face tracking (BlazeFace forehead),1.34,0.19,0.176,53
WELCH,ZCA,Face tracking (BlazeFace forehead),1.21,0.24,0.090,53
WELCH,ICA,Face tracking (BlazeFace forehead),1.3,0.35,0.010,53
WELCH,CHROM,Face tracking (BlazeFace forehead),1.34,0.18,0.194,53
WELCH,POS,Face tracking (BlazeFace forehead),1.07,0.27,0.051,53
WELCH,R,Polygonal forehead (Landmarker),7.24,0.18,0.188,53
WELCH,G,Polygonal forehead (Landmarker),7.89,-0.26,0.056,53
WELCH,B,Polygonal forehead (Landmarker),9.07,-0.09,0.534,53
WELCH,GREY Weight,Polygonal forehead (Landmarker),10.89,-0.05,0.704,53
WELCH,GREY Avg,Polygonal forehead (Landmarker),10.4,-0.09,0.539,53
WELCH,PCA,Polygonal forehead (Landmarker),1.37,0.48,<0.001,53
WELCH,ZCA,Polygonal forehead (Landmarker),1.73,0.14,0.313,53
WELCH,ICA,Polygonal forehead (Landmarker),1.77,0.44,<0.001,53
WELCH,CHROM,Polygonal forehead (Landmarker),1.21,0.22,0.110,53
WELCH,POS,Polygonal forehead (Landmarker),1.18,0.23,0.105,53
WELCH,R,Polygonal (Landmarker; forehead + cheeks),14.64,0.18,0.194,53
WELCH,G,Polygonal (Landmarker; forehead + cheeks),6.83,0.21,0.140,53
WELCH,B,Polygonal (Landmarker; forehead + cheeks),12.84,0.27,0.047,53
WELCH,GREY Weight,Polygonal (Landmarker; forehead + cheeks),10.09,0.21,0.129,53
WELCH,GREY Avg,Polygonal (Landmarker; forehead + cheeks),11.76,0.33,0.014,53
WELCH,PCA,Polygonal (Landmarker; forehead + cheeks),1.87,0.23,0.094,53
WELCH,ZCA,Polygonal (Landmarker; forehead + cheeks),1.38,0.38,0.005,53
WELCH,ICA,Polygonal (Landmarker; forehead + cheeks),1.46,0.35,0.010,53
WELCH,CHROM,Polygonal (Landmarker; forehead + cheeks),1.34,0.19,0.162,53
WELCH,POS,Polygonal (Landmarker; forehead + cheeks),1.29,0.31,0.023,53
HILBERT,R,Full frame (baseline),9.28,-0.27,0.052,53
HILBERT,G,Full frame (baseline),6.72,0.71,<0.001,54
HILBERT,B,Full frame (baseline),10.32,0.22,0.114,54
HILBERT,GREY Weight,Full frame (baseline),15.24,0.64,<0.001,53
HILBERT,GREY Avg,Full frame (baseline),13.41,0.36,0.008,53
HILBERT,PCA,Full frame (baseline),0.7,0.63,<0.001,54
HILBERT,ZCA,Full frame (baseline),0.51,0.76,<0.001,54
HILBERT,ICA,Full frame (baseline),0.76,0.51,<0.001,54
HILBERT,CHROM,Full frame (baseline),0.85,0.45,<0.001,54
HILBERT,POS,Full frame (baseline),1.01,0.35,0.009,54
HILBERT,R,Manual crop ROI,13.54,0.02,0.902,54
HILBERT,G,Manual crop ROI,18.43,-0.06,0.644,54
HILBERT,B,Manual crop ROI,15.22,-0.08,0.577,54
HILBERT,GREY Weight,Manual crop ROI,23.96,-0.22,0.118,54
HILBERT,GREY Avg,Manual crop ROI,21.0,-0.14,0.298,54
HILBERT,PCA,Manual crop ROI,0.88,0.23,0.098,54
HILBERT,ZCA,Manual crop ROI,0.96,-0.05,0.711,54
HILBERT,ICA,Manual crop ROI,1.03,0.06,0.656,54
HILBERT,CHROM,Manual crop ROI,0.81,0.31,0.024,54
HILBERT,POS,Manual crop ROI,0.97,0.12,0.389,54
HILBERT,R,Face tracking (BlazeFace),21.12,0.27,0.044,54
HILBERT,G,Face tracking (BlazeFace),17.29,0.02,0.905,54
HILBERT,B,Face tracking (BlazeFace),18.99,0.15,0.286,54
HILBERT,GREY Weight,Face tracking (BlazeFace),23.48,0.41,0.002,54
HILBERT,GREY Avg,Face tracking (BlazeFace),26.63,0.31,0.022,54
HILBERT,PCA,Face tracking (BlazeFace),0.72,0.44,<0.001,54
HILBERT,ZCA,Face tracking (BlazeFace),0.97,0.02,0.910,54
HILBERT,ICA,Face tracking (BlazeFace),0.81,0.4,0.003,54
HILBERT,CHROM,Face tracking (BlazeFace),1.05,0.02,0.864,54
HILBERT,POS,Face tracking (BlazeFace),0.99,0.12,0.382,53
HILBERT,R,Face tracking (BlazeFace forehead),21.7,0.11,0.412,54
HILBERT,G,Face tracking (BlazeFace forehead),23.58,-0.4,0.003,54
HILBERT,B,Face tracking (BlazeFace forehead),12.19,-0.27,0.046,54
HILBERT,GREY Weight,Face tracking (BlazeFace forehead),25.87,-0.1,0.452,54
HILBERT,GREY Avg,Face tracking (BlazeFace forehead),20.99,0.03,0.850,54
HILBERT,PCA,Face tracking (BlazeFace forehead),0.62,0.58,<0.001,53
HILBERT,ZCA,Face tracking (BlazeFace forehead),0.66,0.61,<0.001,54
HILBERT,ICA,Face tracking (BlazeFace forehead),0.67,0.57,<0.001,54
HILBERT,CHROM,Face tracking (BlazeFace forehead),0.91,0.15,0.292,54
HILBERT,POS,Face tracking (BlazeFace forehead),0.57,0.71,<0.001,53
HILBERT,R,Polygonal forehead (Landmarker),13.72,-0.04,0.789,53
HILBERT,G,Polygonal forehead (Landmarker),16.07,-0.36,0.009,53
HILBERT,B,Polygonal forehead (Landmarker),12.0,-0.07,0.641,53
HILBERT,GREY Weight,Polygonal forehead (Landmarker),20.96,-0.13,0.341,53
HILBERT,GREY Avg,Polygonal forehead (Landmarker),19.27,0.1,0.490,53
HILBERT,PCA,Polygonal forehead (Landmarker),0.56,0.71,<0.001,53
HILBERT,ZCA,Polygonal forehead (Landmarker),0.9,0.44,<0.001,53
HILBERT,ICA,Polygonal forehead (Landmarker),0.9,0.04,0.759,53
HILBERT,CHROM,Polygonal forehead (Landmarker),0.77,0.45,<0.001,54
HILBERT,POS,Polygonal forehead (Landmarker),0.61,0.63,<0.001,54
HILBERT,R,Polygonal (Landmarker; forehead + cheeks),11.89,0.15,0.295,54
HILBERT,G,Polygonal (Landmarker; forehead + cheeks),1.66,0.12,0.399,54
HILBERT,B,Polygonal (Landmarker; forehead + cheeks),4.31,-0.18,0.208,53
HILBERT,GREY Weight,Polygonal (Landmarker; forehead + cheeks),2.22,0.03,0.824,54
HILBERT,GREY Avg,Polygonal (Landmarker; forehead + cheeks),5.47,0.0,0.978,54
HILBERT,PCA,Polygonal (Landmarker; forehead + cheeks),1.03,0.07,0.637,54
HILBERT,ZCA,Polygonal (Landmarker; forehead + cheeks),0.7,0.53,<0.001,54
HILBERT,ICA,Polygonal (Landmarker; forehead + cheeks),0.85,0.23,0.092,53
HILBERT,CHROM,Polygonal (Landmarker; forehead + cheeks),0.82,0.37,0.007,53
HILBERT,POS,Polygonal (Landmarker; forehead + cheeks),0.93,0.01,0.930,54
