Technique,Method,ROI,MAE (bpm),r,p,n
FFT,R,Full frame (baseline),20.41,0.24,0.080,53
FFT,G,Full frame (baseline),18.46,0.33,0.017,53
FFT,B,Full frame (baseline),22.43,-0.03,0.807,53
FFT,GREY Weight,Full frame (baseline),19.07,0.27,0.053,53
FFT,GREY Avg,Full frame (baseline),19.34,0.11,0.433,53
FFT,PCA,Full frame (baseline),19.34,0.23,0.104,53
FFT,ZCA,Full frame (baseline),23.66,0.35,0.009,53
FFT,ICA,Full frame (baseline),22.17,0.41,0.002,53
FFT,CHROM,Full frame (baseline),25.4,0.13,0.345,53
FFT,POS,Full frame (baseline),26.36,0.03,0.844,53
FFT,R,Manual crop ROI,20.88,-0.41,0.002,53
FFT,G,Manual crop ROI,24.78,-0.26,0.065,53
FFT,B,Manual crop ROI,25.33,-0.32,0.020,53
FFT,GREY Weight,Manual crop ROI,24.42,-0.43,0.001,53
FFT,GREY Avg,Manual crop ROI,24.23,-0.33,0.017,53
FFT,PCA,Manual crop ROI,20.61,0.31,0.022,53
FFT,ZCA,Manual crop ROI,19.76,-0.04,0.758,53
FFT,ICA,Manual crop ROI,21.19,-0.15,0.283,53
FFT,CHROM,Manual crop ROI,25.45,0.29,0.032,53
FFT,POS,Manual crop ROI,25.79,0.33,0.017,53
FFT,R,Face tracking (BlazeFace),15.76,0.51,<0.001,53
FFT,G,Face tracking (BlazeFace),21.43,-0.05,0.725,53
FFT,B,Face tracking (BlazeFace),23.42,-0.07,0.603,53
FFT,GREY Weight,Face tracking (BlazeFace),20.62,0.0,0.983,53
FFT,GREY Avg,Face tracking (BlazeFace),20.45,0.0,0.996,53
FFT,PCA,Face tracking (BlazeFace),20.84,0.0,0.978,53
FFT,ZCA,Face tracking (BlazeFace),21.25,0.18,0.194,53
FFT,ICA,Face tracking (BlazeFace),17.73,0.21,0.139,53
FFT,CHROM,Face tracking (BlazeFace),26.52,0.13,0.361,53
FFT,POS,Face tracking (BlazeFace),26.35,0.08,0.547,53
FFT,R,Face tracking (BlazeFace forehead),18.95,0.03,0.828,53
FFT,G,Face tracking (BlazeFace forehead),22.23,0.26,0.056,53
FFT,B,Face tracking (BlazeFace forehead),23.44,-0.1,0.459,53
FFT,GREY Weight,Face tracking (BlazeFace forehead),16.21,0.45,<0.001,53
FFT,GREY Avg,Face tracking (BlazeFace forehead),17.54,0.35,0.010,53
FFT,PCA,Face tracking (BlazeFace forehead),18.06,0.3,0.031,53
FFT,ZCA,Face tracking (BlazeFace forehead),19.42,0.17,0.216,53
FFT,ICA,Face tracking (BlazeFace forehead),20.13,0.13,0.351,53
FFT,CHROM,Face tracking (BlazeFace forehead),26.08,-0.08,0.566,53
FFT,POS,Face tracking (BlazeFace forehead),25.61,-0.14,0.310,53
FFT,R,Polygonal forehead (Landmarker),25.68,-0.14,0.314,53
FFT,G,Polygonal forehead (Landmarker),20.2,0.05,0.708,53
FFT,B,Polygonal forehead (Landmarker),17.16,0.09,0.525,53
FFT,GREY Weight,Polygonal forehead (Landmarker),25.24,-0.11,0.453,53
FFT,GREY Avg,Polygonal forehead (Landmarker),23.61,0.0,0.981,53
FFT,PCA,Polygonal forehead (Landmarker),18.87,-0.02,0.915,53
FFT,ZCA,Polygonal forehead (Landmarker),18.77,-0.14,0.315,53
FFT,ICA,Polygonal forehead (Landmarker),16.97,0.49,<0.001,53
FFT,CHROM,Polygonal forehead (Landmarker),27.05,-0.09,0.508,53
FFT,POS,Polygonal forehead (Landmarker),23.98,0.02,0.862,53
FFT,R,Polygonal (Landmarker; forehead + cheeks),25.59,-0.35,0.010,53
FFT,G,Polygonal (Landmarker; forehead + cheeks),22.96,-0.26,0.065,53
FFT,B,Polygonal (Landmarker; forehead + cheeks),22.66,-0.25,0.073,53
FFT,GREY Weight,Polygonal (Landmarker; forehead + cheeks),23.39,-0.44,<0.001,53
FFT,GREY Avg,Polygonal (Landmarker; forehead + cheeks),22.7,-0.42,0.002,53
FFT,PCA,Polygonal (Landmarker; forehead + cheeks),21.14,0.28,0.039,53
FFT,ZCA,Polygonal (Landmarker; forehead + cheeks),20.21,0.08,0.570,53
FFT,ICA,Polygonal (Landmarker; forehead + cheeks),20.47,0.09,0.502,53
FFT,CHROM,Polygonal (Landmarker; forehead + cheeks),25.95,-0.08,0.548,53
FFT,POS,Polygonal (Landmarker; forehead + cheeks),25.16,-0.02,0.888,53
WELCH,R,Full frame (baseline),22.33,-0.15,0.291,53
WELCH,G,Full frame (baseline),22.6,-0.23,0.099,53
WELCH,B,Full frame (baseline),22.81,-0.43,0.001,53
WELCH,GREY Weight,Full frame (baseline),22.39,-0.32,0.021,53
WELCH,GREY Avg,Full frame (baseline),22.16,-0.31,0.025,53
WELCH,PCA,Full frame (baseline),22.31,-0.3,0.028,53
WELCH,ZCA,Full frame (baseline),23.93,-0.16,0.252,53
WELCH,ICA,Full frame (baseline),23.21,0.16,0.241,53
WELCH,CHROM,Full frame (baseline),25.17,0.03,0.840,53
WELCH,POS,Full frame (baseline),26.25,-0.24,0.090,53
WELCH,R,Manual crop ROI,23.1,-0.3,0.030,53
WELCH,G,Manual crop ROI,25.88,-0.24,0.087,53
WELCH,B,Manual crop ROI,24.12,-0.23,0.098,53
WELCH,GREY Weight,Manual crop ROI,24.61,-0.35,0.011,53
WELCH,GREY Avg,Manual crop ROI,23.63,-0.24,0.086,53
WELCH,PCA,Manual crop ROI,22.66,0.2,0.143,53
WELCH,ZCA,Manual crop ROI,18.49,-0.03,0.853,53
WELCH,ICA,Manual crop ROI,20.0,-0.02,0.862,53
WELCH,CHROM,Manual crop ROI,26.46,-0.24,0.089,53
WELCH,POS,Manual crop ROI,25.88,-0.12,0.390,53
WELCH,R,Face tracking (BlazeFace),18.12,-0.03,0.831,53
WELCH,G,Face tracking (BlazeFace),23.22,-0.37,0.006,53
WELCH,B,Face tracking (BlazeFace),22.72,-0.43,0.001,53
WELCH,GREY Weight,Face tracking (BlazeFace),20.2,-0.18,0.187,53
WELCH,GREY Avg,Face tracking (BlazeFace),22.04,-0.48,<0.001,53
WELCH,PCA,Face tracking (BlazeFace),22.03,-0.48,<0.001,53
WELCH,ZCA,Face tracking (BlazeFace),21.19,0.03,0.838,53
WELCH,ICA,Face tracking (BlazeFace),16.81,0.18,0.187,53
WELCH,CHROM,Face tracking (BlazeFace),25.62,-0.23,0.102,53
WELCH,POS,Face tracking (BlazeFace),25.92,-0.3,0.030,53
WELCH,R,Face tracking (BlazeFace forehead),21.66,-0.07,0.628,53
WELCH,G,Face tracking (BlazeFace forehead),21.57,0.07,0.603,53
WELCH,B,Face tracking (BlazeFace forehead),21.6,-0.21,0.138,53
WELCH,GREY Weight,Face tracking (BlazeFace forehead),21.11,0.08,0.592,53
WELCH,GREY Avg,Face tracking (BlazeFace forehead),22.28,0.02,0.915,53
WELCH,PCA,Face tracking (BlazeFace forehead),22.23,-0.17,0.218,53
WELCH,ZCA,Face tracking (BlazeFace forehead),20.66,-0.12,0.386,53
WELCH,ICA,Face tracking (BlazeFace forehead),22.1,-0.05,0.696,53
WELCH,CHROM,Face tracking (BlazeFace forehead),26.0,-0.06,0.677,53
WELCH,POS,Face tracking (BlazeFace forehead),25.9,-0.34,0.012,53
WELCH,R,Polygonal forehead (Landmarker),24.38,-0.37,0.007,53
WELCH,G,Polygonal forehead (Landmarker),21.12,0.12,0.396,53
WELCH,B,Polygonal forehead (Landmarker),19.64,-0.01,0.933,53
WELCH,GREY Weight,Polygonal forehead (Landmarker),23.55,0.19,0.164,53
WELCH,GREY Avg,Polygonal forehead (Landmarker),22.36,-0.07,0.643,53
WELCH,PCA,Polygonal forehead (Landmarker),21.19,0.0,0.985,53
WELCH,ZCA,Polygonal forehead (Landmarker),20.88,-0.06,0.684,53
WELCH,ICA,Polygonal forehead (Landmarker),18.42,0.16,0.245,53
WELCH,CHROM,Polygonal forehead (Landmarker),24.13,-0.08,0.573,53
WELCH,POS,Polygonal forehead (Landmarker),24.02,0.09,0.542,53
WELCH,R,Polygonal (Landmarker; forehead + cheeks),22.29,-0.54,<0.001,53
WELCH,G,Polygonal (Landmarker; forehead + cheeks),21.08,-0.31,0.022,53
WELCH,B,Polygonal (Landmarker; forehead + cheeks),23.1,-0.33,0.017,53
WELCH,GREY Weight,Polygonal (Landmarker; forehead + cheeks),22.54,-0.44,0.001,53
WELCH,GREY Avg,Polygonal (Landmarker; forehead + cheeks),21.34,-0.46,<0.001,53
WELCH,PCA,Polygonal (Landmarker; forehead + cheeks),20.78,0.37,0.006,53
WELCH,ZCA,Polygonal (Landmarker; forehead + cheeks),21.78,0.04,0.789,53
WELCH,ICA,Polygonal (Landmarker; forehead + cheeks),20.13,0.15,0.275,53
WELCH,CHROM,Polygonal (Landmarker; forehead + cheeks),26.25,-0.11,0.441,53
WELCH,POS,Polygonal (Landmarker; forehead + cheeks),25.59,-0.28,0.041,53
HILBERT,R,Full frame (baseline),10.99,-0.13,0.338,54
HILBERT,G,Full frame (baseline),8.23,0.25,0.070,54
HILBERT,B,Full frame (baseline),12.06,-0.69,<0.001,54
HILBERT,GREY Weight,Full frame (baseline),7.25,0.37,0.006,54
HILBERT,GREY Avg,Full frame (baseline),8.85,-0.1,0.455,54
HILBERT,PCA,Full frame (baseline),9.29,-0.12,0.371,54
HILBERT,ZCA,Full frame (baseline),12.01,-0.16,0.254,54
HILBERT,ICA,Full frame (baseline),8.8,-0.25,0.075,53
HILBERT,CHROM,Full frame (baseline),26.5,-0.21,0.118,54
HILBERT,POS,Full frame (baseline),26.49,-0.24,0.077,54
HILBERT,R,Manual crop ROI,9.16,-0.11,0.450,53
HILBERT,G,Manual crop ROI,10.4,0.06,0.645,53
HILBERT,B,Manual crop ROI,10.12,-0.34,0.012,53
HILBERT,GREY Weight,Manual crop ROI,7.12,0.16,0.240,53
HILBERT,GREY Avg,Manual crop ROI,7.38,0.11,0.448,53
HILBERT,PCA,Manual crop ROI,7.67,0.0,0.997,53
HILBERT,ZCA,Manual crop ROI,12.44,-0.01,0.937,53
HILBERT,ICA,Manual crop ROI,20.15,-0.1,0.484,53
HILBERT,CHROM,Manual crop ROI,27.76,0.16,0.253,54
HILBERT,POS,Manual crop ROI,28.42,-0.33,0.016,54
HILBERT,R,Face tracking (BlazeFace),9.55,-0.4,0.003,53
HILBERT,G,Face tracking (BlazeFace),7.88,0.37,0.007,53
HILBERT,B,Face tracking (BlazeFace),7.61,0.04,0.797,54
HILBERT,GREY Weight,Face tracking (BlazeFace),8.61,0.07,0.628,53
HILBERT,GREY Avg,Face tracking (BlazeFace),9.56,-0.3,0.028,53
HILBERT,PCA,Face tracking (BlazeFace),9.51,-0.27,0.051,53
HILBERT,ZCA,Face tracking (BlazeFace),11.23,0.04,0.781,53
HILBERT,ICA,Face tracking (BlazeFace),7.81,-0.11,0.420,53
HILBERT,CHROM,Face tracking (BlazeFace),28.51,-0.16,0.234,54
HILBERT,POS,Face tracking (BlazeFace),27.88,-0.25,0.067,54
HILBERT,R,Face tracking (BlazeFace forehead),17.64,0.08,0.585,53
HILBERT,G,Face tracking (BlazeFace forehead),13.26,0.3,0.028,53
HILBERT,B,Face tracking (BlazeFace forehead),14.84,0.44,0.001,53
HILBERT,GREY Weight,Face tracking (BlazeFace forehead),13.78,0.35,0.011,53
HILBERT,GREY Avg,Face tracking (BlazeFace forehead),13.11,0.36,0.008,53
HILBERT,PCA,Face tracking (BlazeFace forehead),12.29,0.31,0.025,53
HILBERT,ZCA,Face tracking (BlazeFace forehead),16.88,-0.71,<0.001,54
HILBERT,ICA,Face tracking (BlazeFace forehead),11.9,-0.17,0.233,54
HILBERT,CHROM,Face tracking (BlazeFace forehead),25.17,-0.08,0.575,54
HILBERT,POS,Face tracking (BlazeFace forehead),28.11,-0.28,0.043,54
HILBERT,R,Polygonal forehead (Landmarker),8.58,-0.32,0.018,53
HILBERT,G,Polygonal forehead (Landmarker),16.71,0.38,0.005,53
HILBERT,B,Polygonal forehead (Landmarker),14.48,-0.38,0.005,53
HILBERT,GREY Weight,Polygonal forehead (Landmarker),17.51,0.12,0.384,53
HILBERT,GREY Avg,Polygonal forehead (Landmarker),10.85,-0.61,<0.001,53
HILBERT,PCA,Polygonal forehead (Landmarker),13.09,-0.46,<0.001,53
HILBERT,ZCA,Polygonal forehead (Landmarker),10.47,0.19,0.178,53
HILBERT,ICA,Polygonal forehead (Landmarker),12.74,-0.1,0.482,54
HILBERT,CHROM,Polygonal forehead (Landmarker),26.23,-0.07,0.602,54
HILBERT,POS,Polygonal forehead (Landmarker),25.37,0.11,0.446,54
HILBERT,R,Polygonal (Landmarker; forehead + cheeks),14.5,-0.51,<0.001,53
HILBERT,G,Polygonal (Landmarker; forehead + cheeks),11.39,-0.1,0.471,53
HILBERT,B,Polygonal (Landmarker; forehead + cheeks),15.13,-0.76,<0.001,53
HILBERT,GREY Weight,Polygonal (Landmarker; forehead + cheeks),11.64,-0.29,0.038,53
HILBERT,GREY Avg,Polygonal (Landmarker; forehead + cheeks),12.99,-0.51,<0.001,53
HILBERT,PCA,Polygonal (Landmarker; forehead + cheeks),13.14,-0.45,<0.001,53
HILBERT,ZCA,Polygonal (Landmarker; forehead + cheeks),9.56,0.22,0.105,54
HILBERT,ICA,Polygonal (Landmarker; forehead + cheeks),9.97,0.11,0.446,54
HILBERT,CHROM,Polygonal (Landmarker; forehead + cheeks),27.78,-0.44,<0.001,54
HILBERT,POS,Polygonal (Landmarker; forehead + cheeks),27.75,-0.33,0.016,54
