roi,mean,std,count
none,18.65955498659508,11.062320102076557,432
mesh_forehead,18.768454517568223,10.671324914798676,432
face_track,19.00265950495771,10.492342376724656,432
manual,19.422775412983654,11.234391255237169,432
poly,19.74954678873766,12.945275840013348,432
bbox_forehead,20.065286429786003,11.196035536351792,432
