Technique,Method,ROI,MAE (bpm),r,p,n
WELCH,GREY Weight,Manual crop ROI,18.2,-0.01,0.937,53
WELCH,GREY Avg,Manual crop ROI,18.05,-0.01,0.947,53
WELCH,PCA,Manual crop ROI,7.67,0.54,<0.001,53
WELCH,ZCA,Manual crop ROI,7.46,0.49,<0.001,53
WELCH,ICA,Manual crop ROI,9.53,0.53,<0.001,53
WELCH,CHROM,Manual crop ROI,7.37,0.51,<0.001,53
WELCH,POS,Manual crop ROI,7.66,0.48,<0.001,53
WELCH,R,Face tracking (BlazeFace),14.2,0.38,0.005,53
WELCH,G,Face tracking (BlazeFace),14.95,0.41,0.002,53
WELCH,B,Face tracking (BlazeFace),15.54,0.29,0.036,53
WELCH,GREY Weight,Face tracking (BlazeFace),15.13,0.38,0.006,53
WELCH,GREY Avg,Face tracking (BlazeFace),15.1,0.37,0.006,53
WELCH,PCA,Face tracking (BlazeFace),10.98,0.22,0.113,53
WELCH,ZCA,Face tracking (BlazeFace),14.45,0.22,0.114,53
WELCH,ICA,Face tracking (BlazeFace),9.53,-0.04,0.761,53
WELCH,CHROM,Face tracking (BlazeFace),8.76,0.44,<0.001,53
WELCH,POS,Face tracking (BlazeFace),8.03,0.28,0.043,53
WELCH,R,Face tracking (BlazeFace forehead),17.01,0.13,0.356,53
WELCH,G,Face tracking (BlazeFace forehead),16.3,0.09,0.539,53
WELCH,B,Face tracking (BlazeFace forehead),15.36,-0.07,0.623,53
WELCH,GREY Weight,Face tracking (BlazeFace forehead),15.95,0.2,0.158,53
WELCH,GREY Avg,Face tracking (BlazeFace forehead),16.01,0.01,0.942,53
WELCH,PCA,Face tracking (BlazeFace forehead),10.86,0.3,0.027,53
WELCH,ZCA,Face tracking (BlazeFace forehead),10.06,0.3,0.031,53
WELCH,ICA,Face tracking (BlazeFace forehead),10.48,0.33,0.015,53
WELCH,CHROM,Face tracking (BlazeFace forehead),9.89,0.31,0.022,53
WELCH,POS,Face tracking (BlazeFace forehead),7.52,0.47,<0.001,53
WELCH,R,Polygonal forehead (Landmarker),15.65,0.39,0.004,53
WELCH,G,Polygonal forehead (Landmarker),15.82,0.34,0.014,53
WELCH,B,Polygonal forehead (Landmarker),16.12,0.39,0.004,53
WELCH,GREY Weight,Polygonal forehead (Landmarker),16.75,0.3,0.028,53
WELCH,GREY Avg,Polygonal forehead (Landmarker),16.92,0.31,0.023,53
WELCH,PCA,Polygonal forehead (Landmarker),11.39,0.4,0.003,53
WELCH,ZCA,Polygonal forehead (Landmarker),9.2,0.49,<0.001,53
WELCH,ICA,Polygonal forehead (Landmarker),10.3,0.45,<0.001,53
WELCH,CHROM,Polygonal forehead (Landmarker),8.16,0.56,<0.001,53
WELCH,POS,Polygonal forehead (Landmarker),7.97,0.47,<0.001,53
WELCH,R,Polygonal (Landmarker; forehead + cheeks),15.03,-0.05,0.735,53
WELCH,G,Polygonal (Landmarker; forehead + cheeks),11.61,0.11,0.422,53
WELCH,B,Polygonal (Landmarker; forehead + cheeks),15.87,0.04,0.786,53
WELCH,GREY Weight,Polygonal (Landmarker; forehead + cheeks),13.19,0.13,0.345,53
WELCH,GREY Avg,Polygonal (Landmarker; forehead + cheeks),13.65,0.13,0.340,53
WELCH,PCA,Polygonal (Landmarker; forehead + cheeks),7.45,0.41,0.002,53
WELCH,ZCA,Polygonal (Landmarker; forehead + cheeks),7.23,0.49,<0.001,53
WELCH,ICA,Polygonal (Landmarker; forehead + cheeks),7.13,0.42,0.002,53
WELCH,CHROM,Polygonal (Landmarker; forehead + cheeks),7.29,0.64,<0.001,53
WELCH,POS,Polygonal (Landmarker; forehead + cheeks),7.54,0.57,<0.001,53
HILBERT,R,Full frame (baseline),5.9,-0.75,<0.001,53
HILBERT,G,Full frame (baseline),3.83,0.5,<0.001,54
HILBERT,B,Full frame (baseline),8.43,-0.65,<0.001,54
HILBERT,GREY Weight,Full frame (baseline),4.29,-0.09,0.515,54
HILBERT,GREY Avg,Full frame (baseline),5.23,-0.25,0.064,54
HILBERT,PCA,Full frame (baseline),5.15,-0.26,0.062,54
HILBERT,ZCA,Full frame (baseline),3.89,0.76,<0.001,54
HILBERT,ICA,Full frame (baseline),3.01,0.65,<0.001,53
HILBERT,CHROM,Full frame (baseline),6.93,0.66,<0.001,54
HILBERT,POS,Full frame (baseline),6.41,0.74,<0.001,54
HILBERT,R,Manual crop ROI,11.76,-0.59,<0.001,54
HILBERT,G,Manual crop ROI,6.47,-0.42,0.002,54
HILBERT,B,Manual crop ROI,6.49,-0.34,0.012,54
HILBERT,GREY Weight,Manual crop ROI,8.42,-0.4,0.002,54
HILBERT,GREY Avg,Manual crop ROI,7.88,-0.53,<0.001,54
HILBERT,PCA,Manual crop ROI,7.09,0.69,<0.001,54
HILBERT,ZCA,Manual crop ROI,6.09,0.57,<0.001,53
HILBERT,ICA,Manual crop ROI,5.74,-0.06,0.654,54
HILBERT,CHROM,Manual crop ROI,7.39,0.69,<0.001,54
HILBERT,POS,Manual crop ROI,7.13,0.69,<0.001,54
HILBERT,R,Face tracking (BlazeFace),5.94,-0.56,<0.001,53
HILBERT,G,Face tracking (BlazeFace),5.78,0.18,0.200,54
HILBERT,B,Face tracking (BlazeFace),5.47,0.2,0.139,54
HILBERT,GREY Weight,Face tracking (BlazeFace),7.31,0.25,0.069,54
HILBERT,GREY Avg,Face tracking (BlazeFace),4.78,-0.09,0.541,54
HILBERT,PCA,Face tracking (BlazeFace),5.24,-0.11,0.432,54
HILBERT,ZCA,Face tracking (BlazeFace),5.35,-0.17,0.229,53
HILBERT,ICA,Face tracking (BlazeFace),5.51,0.63,<0.001,54
HILBERT,CHROM,Face tracking (BlazeFace),6.23,0.64,<0.001,54
HILBERT,POS,Face tracking (BlazeFace),7.44,0.68,<0.001,54
HILBERT,R,Face tracking (BlazeFace forehead),4.09,0.49,<0.001,54
HILBERT,G,Face tracking (BlazeFace forehead),4.9,0.58,<0.001,53
HILBERT,B,Face tracking (BlazeFace forehead),4.21,0.41,0.002,53
HILBERT,GREY Weight,Face tracking (BlazeFace forehead),4.71,0.46,<0.001,54
HILBERT,GREY Avg,Face tracking (BlazeFace forehead),3.68,0.58,<0.001,54
HILBERT,PCA,Face tracking (BlazeFace forehead),3.75,0.55,<0.001,54
HILBERT,ZCA,Face tracking (BlazeFace forehead),4.4,0.56,<0.001,54
HILBERT,ICA,Face tracking (BlazeFace forehead),4.68,0.72,<0.001,54
HILBERT,CHROM,Face tracking (BlazeFace forehead),7.9,0.72,<0.001,53
HILBERT,POS,Face tracking (BlazeFace forehead),7.51,0.66,<0.001,53
HILBERT,R,Polygonal forehead (Landmarker),6.17,-0.54,<0.001,54
HILBERT,G,Polygonal forehead (Landmarker),8.03,-0.37,0.006,53
HILBERT,B,Polygonal forehead (Landmarker),6.77,-0.7,<0.001,54
HILBERT,GREY Weight,Polygonal forehead (Landmarker),9.36,-0.65,<0.001,54
HILBERT,GREY Avg,Polygonal forehead (Landmarker),8.92,-0.74,<0.001,54
HILBERT,PCA,Polygonal forehead (Landmarker),6.03,0.66,<0.001,54
HILBERT,ZCA,Polygonal forehead (Landmarker),4.28,0.72,<0.001,54
HILBERT,ICA,Polygonal forehead (Landmarker),5.68,-0.52,<0.001,54
HILBERT,CHROM,Polygonal forehead (Landmarker),7.26,0.69,<0.001,53
HILBERT,POS,Polygonal forehead (Landmarker),6.93,0.64,<0.001,53
HILBERT,R,Polygonal (Landmarker; forehead + cheeks),5.18,0.33,0.014,54
HILBERT,G,Polygonal (Landmarker; forehead + cheeks),4.96,0.49,<0.001,54
HILBERT,B,Polygonal (Landmarker; forehead + cheeks),4.24,0.55,<0.001,53
HILBERT,GREY Weight,Polygonal (Landmarker; forehead + cheeks),3.72,0.65,<0.001,54
HILBERT,GREY Avg,Polygonal (Landmarker; forehead + cheeks),3.52,0.65,<0.001,54
HILBERT,PCA,Polygonal (Landmarker; forehead + cheeks),3.47,0.63,<0.001,54
HILBERT,ZCA,Polygonal (Landmarker; forehead + cheeks),4.44,0.62,<0.001,53
HILBERT,ICA,Polygonal (Landmarker; forehead + cheeks),5.92,0.63,<0.001,53
HILBERT,CHROM,Polygonal (Landmarker; forehead + cheeks),8.1,0.62,<0.001,53
HILBERT,POS,Polygonal (Landmarker; forehead + cheeks),6.81,0.66,<0.001,54
