Technique,Method,ROI,MAE (bpm),r,p,n
FFT,R,Full frame (baseline),14.32,-0.09,0.504,53
FFT,G,Full frame (baseline),13.81,-0.12,0.401,53
FFT,B,Full frame (baseline),15.9,-0.19,0.182,53
FFT,GREY Weight,Full frame (baseline),14.73,-0.11,0.449,53
FFT,GREY Avg,Full frame (baseline),15.17,0.06,0.650,53
FFT,PCA,Full frame (baseline),10.31,0.04,0.790,53
FFT,ZCA,Full frame (baseline),8.1,0.07,0.624,53
FFT,ICA,Full frame (baseline),6.68,0.14,0.318,53
FFT,CHROM,Full frame (baseline),7.23,0.46,<0.001,53
FFT,POS,Full frame (baseline),7.38,0.56,<0.001,53
FFT,R,Manual crop ROI,14.88,0.09,0.534,53
FFT,G,Manual crop ROI,15.65,0.1,0.487,53
FFT,B,Manual crop ROI,17.67,0.05,0.701,53
FFT,GREY Weight,Manual crop ROI,16.16,0.07,0.615,53
FFT,GREY Avg,Manual crop ROI,16.7,0.16,0.262,53
FFT,PCA,Manual crop ROI,5.63,0.49,<0.001,53
FFT,ZCA,Manual crop ROI,5.66,0.39,0.004,53
FFT,ICA,Manual crop ROI,8.69,0.39,0.004,53
FFT,CHROM,Manual crop ROI,6.09,0.62,<0.001,53
FFT,POS,Manual crop ROI,5.95,0.58,<0.001,53
FFT,R,Face tracking (BlazeFace),16.15,0.26,0.061,53
FFT,G,Face tracking (BlazeFace),15.24,0.33,0.015,53
FFT,B,Face tracking (BlazeFace),15.9,0.21,0.140,53
FFT,GREY Weight,Face tracking (BlazeFace),15.9,0.2,0.144,53
FFT,GREY Avg,Face tracking (BlazeFace),16.02,0.19,0.169,53
FFT,PCA,Face tracking (BlazeFace),11.53,0.22,0.111,53
FFT,ZCA,Face tracking (BlazeFace),12.85,0.25,0.072,53
FFT,ICA,Face tracking (BlazeFace),9.42,0.09,0.505,53
FFT,CHROM,Face tracking (BlazeFace),7.72,0.4,0.003,53
FFT,POS,Face tracking (BlazeFace),6.67,0.41,0.002,53
FFT,R,Face tracking (BlazeFace forehead),16.27,-0.16,0.245,53
FFT,G,Face tracking (BlazeFace forehead),16.46,0.45,<0.001,53
FFT,B,Face tracking (BlazeFace forehead),17.0,-0.05,0.739,53
FFT,GREY Weight,Face tracking (BlazeFace forehead),16.43,0.36,0.009,53
FFT,GREY Avg,Face tracking (BlazeFace forehead),16.83,0.07,0.635,53
FFT,PCA,Face tracking (BlazeFace forehead),6.81,0.42,0.002,53
FFT,ZCA,Face tracking (BlazeFace forehead),8.03,0.24,0.079,53
FFT,ICA,Face tracking (BlazeFace forehead),8.31,0.25,0.073,53
FFT,CHROM,Face tracking (BlazeFace forehead),6.1,0.44,0.001,53
FFT,POS,Face tracking (BlazeFace forehead),6.45,0.55,<0.001,53
FFT,R,Polygonal forehead (Landmarker),17.32,0.25,0.070,53
FFT,G,Polygonal forehead (Landmarker),15.3,0.15,0.294,53
FFT,B,Polygonal forehead (Landmarker),17.89,0.23,0.105,53
FFT,GREY Weight,Polygonal forehead (Landmarker),17.44,0.19,0.163,53
FFT,GREY Avg,Polygonal forehead (Landmarker),18.0,0.19,0.167,53
FFT,PCA,Polygonal forehead (Landmarker),9.94,0.13,0.340,53
FFT,ZCA,Polygonal forehead (Landmarker),9.06,0.23,0.092,53
FFT,ICA,Polygonal forehead (Landmarker),8.08,0.34,0.013,53
FFT,CHROM,Polygonal forehead (Landmarker),6.72,0.53,<0.001,53
FFT,POS,Polygonal forehead (Landmarker),6.66,0.53,<0.001,53
FFT,R,Polygonal (Landmarker; forehead + cheeks),14.1,0.14,0.319,53
FFT,G,Polygonal (Landmarker; forehead + cheeks),11.32,0.15,0.300,53
FFT,B,Polygonal (Landmarker; forehead + cheeks),14.5,0.14,0.322,53
FFT,GREY Weight,Polygonal (Landmarker; forehead + cheeks),12.47,0.13,0.349,53
FFT,GREY Avg,Polygonal (Landmarker; forehead + cheeks),11.94,0.13,0.345,53
FFT,PCA,Polygonal (Landmarker; forehead + cheeks),5.49,0.55,<0.001,53
FFT,ZCA,Polygonal (Landmarker; forehead + cheeks),5.75,0.53,<0.001,53
FFT,ICA,Polygonal (Landmarker; forehead + cheeks),7.23,0.35,0.011,53
FFT,CHROM,Polygonal (Landmarker; forehead + cheeks),6.03,0.62,<0.001,53
FFT,POS,Polygonal (Landmarker; forehead + cheeks),7.2,0.58,<0.001,53
WELCH,R,Full frame (baseline),15.39,0.06,0.693,53
WELCH,G,Full frame (baseline),13.28,-0.16,0.247,53
WELCH,B,Full frame (baseline),14.65,0.04,0.785,53
WELCH,GREY Weight,Full frame (baseline),15.49,-0.19,0.185,53
WELCH,GREY Avg,Full frame (baseline),16.24,-0.19,0.167,53
WELCH,PCA,Full frame (baseline),9.8,0.21,0.133,53
WELCH,ZCA,Full frame (baseline),8.01,0.31,0.025,53
WELCH,ICA,Full frame (baseline),7.32,0.24,0.078,53
WELCH,CHROM,Full frame (baseline),8.2,0.35,0.009,53
WELCH,POS,Full frame (baseline),7.69,0.4,0.003,53
WELCH,R,Manual crop ROI,15.36,0.09,0.500,53
WELCH,G,Manual crop ROI,18.06,0.02,0.896,53
WELCH,B,Manual crop ROI,17.58,-0.03,0.849,53
